冮 	\nr\
处女地 	\n\
处女作 	\n\
处世 	\v\
处事 	\vn\
处死 	\v\
处以 	\v\
处于 	\v\
处在 	\v\
处置 	\vn\
处置权 	\n\
揣 	\v\
揣测 	\v\
揣摩 	\v\
川 	\j/nr\
川北 	\ns\
川贝母 	\n\
川藏线 	\nz\
川长征Ａ 	\nz\
川黄液 	\n\
川籍 	\j\
川剧 	\n\
川流不息 	\i\
川棉 	\j\
川西 	\j\
川西平原	\ns\
川仪 	\nz\
川语 	\n\
穿 	\vn\
穿插 	\v\
穿过 	\v\
穿山越谷 	\l\
穿梭 	\vd\
穿梭机 	\n\
穿天杨 	\n\
穿透力 	\n\
穿行 	\v\
穿巡 	\v\
穿衣 	\v\
穿越 	\vn\
穿针引线 	\i\
穿着 	\n/v\
传 	\Ng/n/v\
传帮带 	\j\
传遍 	\v\
传播 	\vn\
传播点 	\n\
传播发展期 	\n\
传播业 	\n\
传播者 	\n\
传唱 	\v\
传承 	\v\
传出 	\v\
传达 	\vn\
传单 	\n\
传导 	\vn\
传到 	\v\
传道 	\v\
传递 	\vn\
传递力 	\n\
传动 	\vn\
传感器 	\n\
传呼 	\vn\
传呼电话 	\n\
传呼机 	\n\
传话 	\vn\
传唤 	\vn\
传记 	\n\
传教 	\vn\
传开 	\v\
传来 	\vn\
传媒 	\n\
传票 	\n\
传奇 	\n\
传奇性 	\n\
传球 	\vn\
传染 	\vn\
传染病 	\n\
传染性 	\b\
传染源 	\n\
传人 	\n\
传入 	\v\
传神 	\a\
传声筒 	\n\
传石 	\v\
传世 	\vn\
传授 	\vn\
传输 	\vn\
传说 	\n/v\
传颂 	\v\
传送 	\vn\
传统 	\a/nr\
传统课 	\n\
传统戏 	\n\
传统型 	\n\
传闻 	\n\
传销 	\vn\
传阅 	\vn\
传真 	\n\
传真机 	\n\
传主 	\n\
船 	\n\
船舶 	\n\
船舶业 	\n\
船舱 	\n\
船长 	\n\
船厂 	\n\
船电 	\n\
船东 	\n\
船队 	\n\
船墩 	\n\
船儿 	\n\
船公 	\n\
船级社 	\n\
船家 	\n\
船老大 	\n\
船龄 	\n\
船民 	\n\
船上 	\s\
船台 	\n\
船体 	\n\
船头 	\s\
船尾 	\n\
船坞 	\n\
船务 	\n\
船舷 	\n\
船型 	\n\
船用 	\b\
船员 	\n\
船运 	\vn\
船闸 	\n\
船闸门 	\n\
船只 	\n\
船主 	\n\
船舸 	\n\
喘 	\v\
喘喘气 	\v\
喘气 	\v\
喘息 	\vn\
串 	\n/q/v\
串串 	\v\
串供 	\v\
串会 	\v\
串联 	\v\
串门 	\v\
串通 	\vn\
窗 	\Ng\
窗户 	\n\
窗口 	\s\
窗框 	\n\
窗帘 	\n\
窗门 	\n\
窗扇 	\n\
窗上 	\s\
窗外 	\s\
窗牖 	\n\
幢 	\q\
床 	\n/q\
床铺 	\n\
床头 	\n\
床位 	\n\
床沿 	\n\
闯 	\nr/v\
闯荡 	\v\
闯进 	\v\
闯入 	\v\
创 	\Ng/Vg\
创安 	\j\
创办 	\v\
创出 	\v\
创汇 	\vn\
创纪录 	\vn\
创价 	\nz\
创建 	\vn\
创建人 	\n\
创建者 	\n\
创举 	\n\
创刊 	\vn\
创利 	\vn\
创例 	\n\
创立 	\v\
创立者 	\n\
创面 	\n\
创伤 	\n\
创始 	\v\
创始人 	\n\
创始者 	\n\
创世 	\j\
创世牌 	\nz\
创收 	\v\
创下 	\v\
创新 	\v\
创新论 	\n\
创演 	\v\
创业 	\vn\
创业史 	\n\
创业者 	\n\
创意 	\n\
创造 	\vn\
创造力 	\n\
创造性 	\n\
创造者 	\n\
创作 	\n/vn\
创作界 	\n\
创作力 	\n\
创作者 	\n\
吹 	\v\
吹风会 	\n\
吹拂 	\v\
吹呼 	\vn\
吹牛 	\v\
吹牛话 	\n\
吹腔 	\n\
吹响 	\v\
吹箫者 	\n\
炊具 	\n\
炊事 	\n\
炊事班 	\n\
炊事员 	\n\
炊烟 	\n\
炊烟袅袅 	\l\
捶 	\v\
锤 	\Ng/q\
锤炼 	\v\
垂 	\v\
垂落 	\v\
垂暮之年 	\i\
垂危 	\z\
垂涎 	\v\
垂询 	\v\
垂直 	\vd/vn\
春 	\Tg/nr\
春播 	\vn\
春草 	\n\
春潮 	\n\
春城 	\n\
春风 	\n\
春风化雨 	\i\
春风顺意 	\i\
春耕 	\n/vn\
春耕大忙 	\l\
春供 	\j\
春姑娘 	\n\
春光 	\n\
春光明媚 	\i\
春寒 	\n\
春和镇 	\ns\
春华秋实 	\i\
春荒 	\n\
春季 	\t\
春江 	\s\
春江花月夜 	\n\
春节 	\t\
春菊 	\n\
春卷 	\n\
春卷皮 	\n\
春兰 	\nz\
春雷 	\n\
春蕾 	\nz\
春蕾班 	\n\
春蕾计划	\nz\
春联 	\n\
春梦 	\n\
春暖花开 	\i\
春秋 	\n/t\
春去秋来 	\l\
春色 	\n\
春色满园 	\i\
春事 	\n\
春水 	\n\
春天 	\t\
春夏季 	\l\
春夏秋冬 	\l\
春意 	\n\
春意盎然 	\i\
春雨 	\n\
春运 	\j/n\
春种 	\v\
春茗 	\n\
春晖 	\n\
醇芳 	\a\
醇酣 	\a\
醇厚 	\a\
醇香 	\a\
醇雅 	\a\
唇干舌燥 	\l\
唇裂 	\n\
唇舌 	\n\
淳厚 	\a\
淳朴 	\an\
纯 	\ad/nr\
纯粹 	\b/d/nr\
纯度 	\n\
纯洁 	\an\
纯洁性 	\n\
纯金 	\n\
纯净 	\an\
纯净率 	\n\
纯利 	\n\
纯利润 	\n\
纯朴 	\an\
纯收入 	\n\
纯熟 	\ad\
纯属 	\v\
纯天然 	\b\
纯真 	\an\
纯中药 	\n\
蠢蠢欲动 	\i\
戳 	\v\
疵点 	\n\
磁场 	\n\
磁带 	\n\
磁共振 	\n\
磁卡 	\n\
磁力计 	\n\
磁石 	\n\
磁县 	\ns\
雌 	\b\
雌化 	\vn\
雌性 	\b\
辞 	\v\
辞呈 	\n\
辞典 	\n\
辞旧迎新 	\l\
辞去 	\v\
辞世 	\v\
辞行 	\vn\
辞职 	\vn\
辞职信 	\n\
慈爱 	\a\
慈江道 	\ns\
慈江道地区	\ns\
慈眉善目 	\i\
慈母 	\n\
慈母村 	\ns\
慈善 	\an\
慈祥 	\a\
慈云寺 	\ns\
瓷 	\Ng\
瓷杯 	\n\
瓷厂 	\n\
瓷都 	\n\
瓷盘 	\n\
瓷器 	\n\
瓷实 	\a\
瓷碗 	\n\
词 	\n\
词典 	\n\
词汇 	\n\
词句 	\n\
词牌 	\n\
词曲 	\n\
词作家 	\n\
词作者 	\n\
此 	\r\
此案 	\r\
此处 	\s\
此次 	\r\
此地 	\s\
此法 	\r\
此访 	\r\
此风 	\r\
此伏彼起 	\i\
此后 	\t\
此话 	\r\
此间 	\r\
此奖 	\r\
此举 	\r\
此剧 	\r\
此刻 	\t\
此类 	\r\
此理 	\r\
此片 	\r\
此起彼伏 	\i\
此前 	\t\
此情此景 	\l\
此人 	\r\
此生 	\r\
此时 	\t\
此时此刻 	\l\
此事 	\r\
此书 	\r\
此外 	\c/r\
此文 	\r\
此消彼长 	\l\
此信 	\r\
此行 	\r\
此药 	\r\
此役 	\r\
刺 	\v\
刺刀 	\n\
刺耳 	\a\
刺骨 	\z\
刺激 	\a/vn\
刺激仪 	\n\
刺杀 	\vn\
刺探 	\v\
刺绣 	\n/v\
刺眼 	\a\
刺猬 	\n\
赐 	\v\
赐稿 	\v\
赐予 	\vn\
次 	\Bg/a/q\
次次 	\q\
次地区 	\n\
次官 	\n\
次年 	\t\
次品 	\n\
次日 	\t\
次生 	\b\
次生林 	\n\
次数 	\n\
次席 	\n\
次要 	\b\
次之 	\v\
次子 	\n\
聪慧 	\a\
聪明 	\a/nr\
聪明才智 	\l\
聪明一世 	\i\
葱葱郁郁 	\z\
葱翠 	\z\
葱绿 	\z\
葱郁 	\z\
葱茏 	\z\
匆匆 	\z\
匆匆忙忙 	\z\
匆忙 	\ad\
从 	\d/nr/p\
从不 	\d\
从长计议 	\i\
从此 	\d\
从从容容 	\z\
从动 	\b\
从而 	\c/p\
从古至今 	\l\
从化市 	\ns\
从简 	\v\
从江 	\ns\
从教 	\v\
从警 	\v\
从军 	\vn\
从军记 	\n\
从快 	\d\
从来 	\d\
从来不 	\d\
从没 	\d\
从前 	\t\
从容 	\ad/an\
从善如流 	\i\
从事 	\v\
从速 	\d\
从头 	\d\
从头到尾 	\i\
从未 	\d\
从无到有 	\l\
从五开始 	\n\
从小 	\d/p\
从严 	\d\
从业 	\b/v\
从业者 	\n\
从医 	\v\
从艺 	\v\
从早到晚 	\l\
从政 	\v\
从政者 	\n\
从中 	\d\
从重 	\d\
丛丛 	\q\
丛林 	\n\
丛林区 	\n\
丛生 	\v\
丛书 	\n\
丛中 	\s\
凑 	\v\
凑和 	\v\
凑合 	\v\
凑近 	\v\
凑足 	\v\
粗 	\a/d\
粗暴 	\ad\
粗布 	\n\
粗糙 	\a\
粗粗 	\d\
粗大 	\a\
粗放 	\v\
粗放经营 	\l\
粗放型 	\b/n\
粗厚 	\a\
粗加工 	\b\
粗粮 	\n\
粗鲁 	\a\
粗略 	\ad\
粗气 	\n\
粗浅 	\a\
粗沙 	\n\
粗俗 	\a\
粗细 	\n\
粗制滥造 	\i\
粗犷 	\an\
簇 	\Ng\
簇簇 	\q\
簇拥 	\v\
促 	\Vg\
促成 	\v\
促进 	\vn\
促进会 	\n\
促使 	\v\
促膝交谈 	\i/l\
促膝谈心 	\i\
促销 	\vn\
蹿 	\v\
篡改 	\v\
窜 	\v\
窜升 	\v\
摧 	\Vg\
摧残 	\vn\
摧毁 	\v\
摧崖拍岸 	\l\
崔庄乡 	\ns\
催 	\v\
催促 	\v\
催花量 	\n\
催化 	\vn\
催化剂 	\n\
催缴 	\vn\
催人奋进 	\l\
催人泪下 	\i\
催生 	\v\
催熟 	\vn\
脆 	\a\
脆丽 	\a\
脆弱 	\an\
脆弱性 	\n\
翠 	\Ag/Bg/Ng\
翠碧 	\a\
翠亨 	\ns\
翠亨镇 	\ns\
翠绿 	\z\
翠鸟 	\n\
翠屏峰 	\ns\
翠青 	\b\
翠竹 	\n\
村 	\n\
村办 	\vn\
村边 	\s\
村长 	\n\
村村 	\n/q\
村村户户 	\l\
村村落落 	\n\
村东 	\f\
村干部 	\n\
村姑 	\n\
村规民约 	\l\
村户 	\n\
村级 	\b\
村口 	\s\
村里 	\n\
村里人 	\n\
村落 	\n\
村民 	\n\
村农民 	\n\
村平 	\j\
村容 	\n\
村容村貌 	\l\
村上 	\n\
村提留 	\n\
村头 	\s\
村屯 	\n\
村委会 	\j/n\
村务 	\n\
村务公开 	\l\
村野 	\n\
村宅 	\n\
村寨 	\n\
村镇 	\n\
村支部 	\n\
村支书 	\n\
村庄 	\n\
村子 	\n\
村组 	\n\
存 	\j/v\
存储 	\vn\
存储点 	\n\
存贷 	\n/vn\
存贷款 	\j\
存单 	\n\
存放 	\vn\
存根 	\n\
存活 	\vn\
存活率 	\n\
存款 	\n/vn\
存款额 	\n\
存款人 	\n\
存栏 	\vn\
存量 	\n\
存入 	\v\
存亡 	\v\
存心 	\d\
存有 	\v\
存在 	\vn\
存在论 	\n\
存在物 	\n\
存折 	\n\
寸 	\q\
寸步难行 	\i\
寸草不生 	\l\
寸草寸金 	\l\
寸土寸金 	\l\
寸心 	\n\
磋商 	\vn\
撮合 	\vn\
撮箕 	\n\
搓 	\v\
措 	\Vg\
措辞 	\vn\
措玛 	\ns\
措施 	\n/vn\
挫 	\v\
挫伤 	\v\
挫折 	\n/vn\
错 	\a/n/vd\
错案 	\n\
错别字 	\n\
错讹 	\a\
错怪 	\v\
错过 	\v\
错觉 	\n\
错落有致 	\i\
错事 	\n\
错位 	\vn\
错误 	\ad/n\
错误者 	\n\
错字 	\n\
错综 	\z\
错综复杂 	\i\
搭 	\v\
搭乘 	\v\
搭档 	\n\
搭构 	\v\
搭话 	\v\
搭架 	\v\
搭建 	\v\
搭救 	\v\
搭桥 	\v\
搭设 	\v\
搭载 	\v\
达 	\nr/v\
达标 	\vn\
达产 	\v\
达成 	\vn\
达川 	\ns\
达到 	\v\
达尔罕茂明安 	\ns\
达尔罕茂明安联合旗	\ns\
达尔角合镇 	\ns\
达尔文 	\nr/ns\
达观 	\a\
达荷美 	\ns\
达荷美共和国 	\ns\
达卡 	\ns\
达拉特 	\ns/nz\
达累斯萨拉姆 	\ns\
达令港 	\ns\
达马托法 	\n\
达特茅思 	\ns\
达瓦卡 	\ns\
达瓦孜 	\nr/nz\
达斡尔 	\ns\
达斡尔族 	\nz\
达沃斯 	\ns\
达坂城 	\ns\
答 	\v\
答案 	\n\
答辩 	\vn\
答辩状 	\n\
答道 	\v\
答复 	\vn\
答卷 	\n\
答谢 	\v\
答谢辞 	\n\
答疑 	\vn\
答应 	\v\
打 	\p/q/vn\
打扮 	\v\
打车 	\v\
打成一片 	\i\
打丑 	\vn\
打出 	\v\
打打 	\v\
打倒 	\v\
打得火热 	\i\
打的 	\v\
打电话 	\v\
打动 	\v\
打斗 	\v\
打斗片 	\n\
打斗招式 	\n\
打断 	\v\
打哆嗦 	\v\
打发 	\v\
打法 	\n\
打非 	\v\
打分 	\v\
打工 	\vn\
打工妹 	\n\
打工女 	\n\
打工者 	\n\
打工族 	\n\
打官司 	\v\
打击 	\vn\
打击乐 	\n\
打基础 	\v\
打假 	\vn\
打假治劣 	\l\
打架 	\vn\
打交道 	\v\
打井 	\v\
打开 	\v\
打垮 	\v\
打捞 	\v\
打雷 	\v\
打量 	\v\
打猎 	\v\
打乱 	\v\
打骂 	\v\
打磨 	\v\
打牌 	\v\
打喷嚏 	\v\
打破 	\v\
打秋风 	\l\
打球 	\v\
打入 	\v\
打扫 	\v\
打手势 	\l\
打私 	\vn\
打算 	\n/vn\
打碎 	\v\
打天下 	\v\
打听 	\v\
打通 	\v\
打头 	\v\
打头阵 	\v\
打问 	\v\
打下 	\v\
打馅 	\v\
打响 	\v\
打消 	\v\
打雪仗 	\l\
打药 	\n/v\
打印 	\vn\
打印机 	\n\
打硬仗 	\l\
打鱼 	\v\
打圆场 	\l\
打造 	\v\
打仗 	\v\
打招呼 	\v\
打折 	\v\
打折扣 	\v\
打中 	\v\
打主意 	\v\
打转儿 	\v\
打转转 	\v\
打桩 	\vn\
打字 	\vn\
打坐 	\v\
打盹 	\v\
打瞌睡 	\v\
大 	\Ng/an/d/j\
大安山乡 	\ns\
大安乡 	\ns\
大案 	\n\
大案要案 	\l\
大巴山 	\ns\
大坝 	\n\
大白菜 	\n\
大百科 	\n\
大百科全书 	\n\
大半 	\d/m\
大半生 	\n\
大半天 	\m\
大办 	\v\
大包大揽 	\l\
大包干 	\l\
大堡镇 	\ns\
大饱耳福 	\l\
大饱眼福 	\l\
大本营 	\n\
大鼻子 	\n\
大笔 	\n\
大便 	\n\
大别山 	\ns\
大别山区 	\n\
大兵团 	\n\
大饼 	\n\
大步 	\d/n\
大步流星 	\i\
大部 	\m/n\
大部分 	\m/n\
大菜 	\n\
大餐 	\n\
大藏 	\n\
大藏经 	\n\
大藏相 	\n\
大厂 	\ns\
大潮 	\n\
大潮山 	\ns\
大车 	\n\
大臣 	\n\
大城 	\ns\
大成 	\nr/nz\
大吃大喝 	\l\
大吃一惊 	\l\
大出风头 	\l\
大出血 	\v\
大打出手 	\i\
大大 	\a/d/z\
大大小小 	\z\
大胆 	\ad\
大刀 	\n\
大刀阔斧 	\i\
大到暴雨 	\l\
大道 	\n\
大堤 	\n\
大敌 	\n\
大抵 	\d\
大地 	\n\
大殿 	\n\
大动脉 	\n\
大豆 	\n\
大都 	\d\
大都市 	\n\
大肚子 	\n\
大度 	\a\
大渡河 	\ns\
大渡河大桥	\ns\
大渡桥横铁索寒 	\l\
大端 	\n\
大队 	\n\
大队长 	\n\
大队人马 	\l\
大多 	\d/m\
大多数 	\m\
大额 	\b\
大恩大德 	\n\
大而化之 	\l\
大儿子 	\n\
大二环 	\ns\
大发横财 	\l\
大法 	\n\
大法官 	\n\
大凡 	\d/nr\
大方 	\a/nr\
大放异彩 	\l\
大粪球 	\n\
大丰港 	\ns\
大风 	\n\
大风堂 	\nz\
大夫 	\n\
大扶康 	\nz\
大幅 	\b/d\
大幅度 	\d\
大幅让利 	\l\
大福 	\n\
大腹便便 	\i\
大概 	\d\
大干 	\v\
大纲 	\n\
大岗 	\ns\
大港 	\ns/nz\
大港区 	\ns\
大哥 	\n\
大哥大 	\n\
大革命 	\n\
大个 	\n\
大个儿 	\n\
大功 	\n\
大公 	\n\
大公报 	\n\
大公无私 	\l\
大购大销 	\l\
大姑 	\n\
大姑娘 	\n\
大鼓子 	\n\
大褂 	\n\
大关 	\n\
大观园 	\ns\
大规模 	\b/d\
大规模化 	\vn\
大锅饭 	\n\
大锅水 	\n\
大国 	\n\
大海 	\n\
大韩 	\ns\
大喊大叫 	\i\
大旱 	\n\
大汉 	\n\
大好 	\a\
大号 	\n\
大禾 	\ns\
大和 	\nr/nz\
大合唱 	\n\
大河 	\ns\
大河上下 	\l\
大河乡 	\ns\
大洪 	\n\
大红 	\b\
大呼小叫 	\i\
大胡笳 	\n\
大湖 	\ns\
大湖型 	\b\
大户 	\n\
大华府 	\ns\
大华府地区	\ns\
大话 	\n\
大黄山 	\ns\
大黄鱼 	\n\
大灰狼 	\n\
大回转 	\n\
大会 	\n\
大会党 	\n\
大会计 	\n\
大会堂 	\n\
大会战 	\n\
大伙 	\n/r\
大伙儿 	\r\
大火 	\n\
大祸 	\n\
大吉 	\z\
大集 	\n\
大几 	\m\
大季 	\n\
大计 	\n\
大忌 	\n\
大家 	\n/r\
大家风范 	\n\
大家庭 	\n\
大家族 	\n\
大加 	\d\
大件 	\n\
大涧 	\ns\
大涧村 	\ns\
大将 	\n\
大江 	\nz\
大江南北 	\l\
大奖 	\n\
大奖赛 	\n\
大街 	\n\
大街小巷 	\i\
大姐 	\n\
大襟 	\n\
大京九 	\nz\
大惊失色 	\i\
大酒店 	\n\
大局 	\n\
大局观 	\n\
大举 	\d\
大军 	\n\
大卡／小时 	\n\
大客车 	\n\
大坑 	\n\
大款 	\n\
大阔海牌 	\nz\
大理 	\ns\
大理机场	\ns\
大理石 	\n\
大理站 	\ns\
大礼堂 	\n\
大荔县 	\ns\
大利 	\n\
大力 	\d\
大力神 	\nz\
大力神４ 	\nz\
大连 	\ns\
大连车站	\ns\
大连港 	\ns\
大连火车站	\ns\
大连盆景公园	\ns\
大连市 	\ns\
大连市石河满族镇	\ns\
大梁 	\n\
大量 	\m\
大楼 	\n\
大路 	\n\
大路货 	\n\
大陆 	\n\
大陆桥 	\n\
大妈 	\n\
大麻 	\n\
大马 	\n\
大马哈鱼 	\n\
大马力 	\n\
大马士革 	\ns\
大迈阿密 	\ns\
大忙 	\a/n\
大忙人 	\n\
大忙时节 	\l\
大门 	\n\
大门口 	\n/s\
大米 	\n\
大面积 	\b/d\
大明湖 	\ns\
大明湖公园	\ns\
大名 	\n\
大名鼎鼎 	\i/l\
大名县 	\ns\
大模大样 	\i\
大漠 	\n\
大拇指 	\n\
大南沟 	\ns\
大脑 	\n\
大脑库 	\n\
大年初二 	\t\
大年初三 	\t\
大年初一 	\t\
大年三十 	\t\
大年三十儿 	\t\
大年夜 	\t\
大娘 	\n\
大宁河 	\ns\
大农场 	\n\
大牌 	\b/n\
大盘 	\n\
大炮仗 	\n\
大棚 	\n\
大棚菜 	\n\
大篷车 	\n\
大批 	\m\
大批量 	\m\
大片 	\n\
大片大片 	\z\
大坪 	\nz\
大埔 	\ns\
大起大落 	\l\
大器 	\n\
大器晚成 	\i\
大气 	\n\
大气磅礴 	\i\
大气层 	\n\
大千世界 	\i\
大钱 	\n\
大前年 	\t\
大前提 	\n\
大桥 	\n\
大秦线 	\nz\
大青山 	\n\
大清 	\nz\
大清早 	\t\
大庆 	\ns\
大庆市 	\ns\
大球场 	\n\
大区 	\s\
大权 	\n\
大权独揽 	\i\
大全 	\n\
大人 	\n\
大人物 	\n\
大赛 	\vn\
大嗓门 	\n\
大嫂 	\n\
大煞风景 	\i\
大山顶 	\ns\
大声 	\d\
大声疾呼 	\i\
大师 	\n\
大师傅 	\n\
大师级 	\b\
大失所望 	\i\
大石坝 	\ns\
大石碑 	\n\
大石庙镇 	\ns\
大石牌 	\nz\
大石桥 	\n\
大石桥市 	\ns\
大石山区 	\n\
大石头村 	\ns\
大使 	\n\
大使馆 	\n\
大使级 	\b\
大使库 	\n\
大事 	\n\
大事记 	\n\
大事录 	\n\
大势 	\n\
大势所趋 	\i\
大是大非 	\i\
大市 	\n\
大手笔 	\l/n\
大叔 	\n\
大书特书 	\i\
大树 	\n\
大水 	\n\
大肆 	\d\
大蒜 	\n\
大踏步 	\d\
大堂 	\n\
大提琴 	\n\
大体 	\d/n\
大天元 	\nz\
大田 	\n\
大田庄乡 	\ns\
大厅 	\n\
大庭广众 	\i\
大通 	\nz\
大通道 	\n\
大同 	\ns\
大同火车站	\ns\
大同市 	\ns\
大同小异 	\i\
大头 	\n\
大屠杀 	\n\
大团结 	\n\
大团圆 	\v\
大腿 	\n\
大洼县 	\ns\
大碗 	\n\
大腕 	\n\
大王 	\n\
大网 	\n\
大为 	\d\
大无畏 	\b\
大武村 	\ns\
大五金 	\n\
大雾 	\n\
大悟县 	\ns\
大西北 	\s\
大西门 	\ns\
大西南 	\f/s\
大西洋 	\ns\
大喜过望 	\i\
大系 	\n\
大戏 	\n\
大戏院 	\n\
大侠 	\n\
大厦 	\n\
大显身手 	\i\
大相径庭 	\i\
大项 	\n\
大象 	\n\
大象者 	\n\
大小 	\a/n\
大小凉山 	\j\
大校 	\n\
大笑 	\v\
大笑不止 	\l\
大写意 	\n\
大兴 	\ns\
大兴安岭 	\ns\
大兴县 	\ns\
大兴县北普陀影视城	\ns\
大兴寨村 	\ns\
大型 	\b/n\
大型化 	\v\
大行其道 	\l\
大行星 	\n\
大熊猫 	\n\
大修 	\n/vn\
大选 	\n/vn\
大学 	\n\
大学生 	\n\
大雪 	\n/t\
大循环 	\n\
大汛 	\n\
大雅 	\n\
大雅大俗 	\l\
大亚湾 	\ns\
大亚湾人 	\n\
大雁 	\n\
大秧歌 	\n\
大杨 	\nz\
大杨牌 	\nz\
大洋 	\n\
大洋洲 	\ns\
大要案 	\j\
大爷 	\n\
大野 	\n\
大业 	\n\
大衣 	\n\
大邑 	\ns\
大意 	\n\
大义 	\n\
大营 	\ns\
大营盘乡 	\ns\
大有可为 	\i\
大有文章 	\i\
大有益处 	\l\
大有用武之地 	\l\
大有作为 	\i\
大有裨益 	\i\
大于 	\v\
大鱼大肉 	\l\
大雨 	\n\
大宇 	\nz\
大院 	\n\
大约 	\d\
大跃进 	\nz\
大运河 	\n\
大枣 	\n\
大灶 	\n\
大泽 	\ns\
大增 	\v\
大栅栏 	\ns\
大寨 	\n\
大展 	\nz\
大展身手 	\l\
大战 	\n/v\
大站 	\n\
大张旗鼓 	\i\
大昭寺 	\ns\
大政方针 	\n\
大志 	\n\
大致 	\d\
大智大慧 	\l\
大中城市 	\j\
大中华区 	\n\
大中小 	\b\
大中小企业 	\j\
大中小学生 	\j\
大中型 	\b\
大中学校 	\j\
大中专 	\j\
大钟寺 	\ns\
大众 	\nz\
大众车 	\n\
大洲 	\n\
大主教 	\n\
大专 	\n\
大专班 	\n\
大专生 	\n\
大专院校 	\j\
大篆 	\n\
大庄矿 	\ns\
大自然 	\n\
大字 	\n\
大宗 	\m\
大做文章 	\l\
大作 	\n/v\
大作品 	\n\
大阪市 	\ns\
大圪 	\ns\
大圪村 	\ns\
呆 	\v\
呆板 	\a\
呆坏账 	\j\
呆账 	\n\
歹徒 	\n\
傣家 	\n\
傣族 	\nz\
戴 	\nr/v\
戴高帽子 	\l\
戴维 	\nr/nz\
戴维斯加利福尼亚 	\ns\
戴眼镜者 	\n\
戴者 	\n\
带 	\Ng/n/v\
带兵 	\v\
带兵人 	\n\
带病 	\d\
带材 	\n\
带到 	\v\
带电 	\v\
带动 	\vn\
带动力 	\n\
带动型 	\n\
带队 	\v\
带宽 	\n\
带来 	\v\
带领 	\vn\
带路 	\v\
带路人 	\n\
带入 	\v\
带头 	\vd/vn\
带头人 	\n\
带有 	\v\
带鱼 	\n\
带资 	\v\
带子 	\n\
带走 	\v\
殆尽 	\v\
代 	\n/q/v\
代办 	\v\
代笔 	\v\
代表 	\n/vn\
代表处 	\n\
代表大会 	\n\
代表队 	\n\
代表会 	\n\
代表人 	\n\
代表团 	\n\
代表性 	\n\
代表院 	\n\
代表作 	\n\
代部长 	\n\
代代红 	\l\
代代相承 	\l\
代代相传 	\l\
代顿 	\nz\
代号 	\n\
代价 	\n\
代课 	\v\
代理 	\n/vn\
代理配送制 	\n\
代理人 	\n\
代理商 	\n\
代理行 	\n\
代理制 	\n\
代码 	\n\
代市长 	\n\
代替 	\p/v\
代销 	\v\
代销店 	\n\
代销者 	\n\
代谢 	\vn\
代言人 	\n\
代议制 	\n\
代职 	\v\
代总理 	\n\
贷 	\Ng/Vg/v\
贷存比 	\n\
贷户 	\n\
贷款 	\n/vn\
贷款额 	\n\
贷款人 	\n\
贷款行 	\n\
袋 	\Ng/q\
袋料 	\n\
袋鼠 	\n\
袋子 	\n\
待 	\Vg/v\
待产 	\v\
待岗 	\vn\
待机 	\vn\
待客 	\v\
待命 	\v\
待人 	\v\
待业 	\vn\
待业率 	\n\
待遇 	\n\
逮捕 	\vn\
怠慢 	\v\
耽搁 	\v\
耽误 	\v\
担 	\Ng/q/v\
担保 	\vn\
担保费 	\n\
担保人 	\n\
担当 	\v\
担负 	\v\
担纲 	\v\
担惊受怕 	\i\
担笼 	\n\
担任 	\v\
担心 	\vn\
担忧 	\vn\
担子 	\n\
丹参 	\n\
丹顶鹤 	\n\
丹东 	\ns\
丹东市 	\ns\
丹凤眼 	\n\
丹佛 	\ns\
丹江口市 	\ns\
丹麦 	\ns\
丹麦王国 	\ns\
丹青 	\n\
丹田 	\n\
丹田村 	\ns\
丹寨县 	\ns\
单 	\Ag/Dg/Ng/b/d/j/nr\
单薄 	\a\
单边 	\d\
单舱 	\n\
单产 	\n\
单程 	\n\
单闯号 	\nz\
单纯 	\ad\
单打 	\n\
单单 	\d\
单刀赴会 	\i\
单刀直入 	\i\
单调 	\an\
单独 	\b/d\
单方 	\n\
单方面 	\d/n\
单杠 	\n\
单个 	\b\
单航次 	\n\
单机 	\n\
单极 	\n\
单季 	\b\
单价 	\n\
单晶 	\n\
单晶河 	\ns\
单晶河村 	\ns\
单晶河乡 	\ns\
单据 	\n\
单克隆 	\b\
单孔 	\n\
单面 	\b\
单人 	\b\
单日 	\b\
单身 	\n\
单淘汰制 	\n\
单体 	\n\
单位 	\n\
单位名 	\n\
单位制 	\n\
单线 	\n\
单线铁路 	\n\
单项 	\n\
单项赛 	\n\
单行 	\b\
单行线 	\n\
单雄蕊 	\b\
单循环制 	\n\
单一 	\ad/an/b/d\
单一化 	\v\
单元 	\n\
单元房 	\n\
单证 	\n\
单株 	\n\
掸 	\v\
胆 	\n\
胆大妄为 	\i\
胆敢 	\v\
胆固醇 	\n\
胆量 	\n\
胆略 	\n\
胆囊 	\n\
胆囊炎 	\n\
胆魄 	\n\
胆识 	\n\
胆子 	\n\
旦 	\Ng/Vg\
旦夕 	\t\
氮 	\n\
氮气 	\n\
但 	\c/d\
但是 	\c\
但愿 	\v\
淡 	\Dg/a\
淡薄 	\a\
淡泊名利 	\l\
淡出 	\v\
淡淡的 	\z\
淡红 	\b\
淡化 	\v\
淡黄 	\b\
淡季 	\t\
淡漠 	\a/v\
淡如逝水 	\l\
淡水 	\n\
淡水鱼 	\n\
淡忘 	\v\
淡雅 	\a\
淡紫 	\b\
诞辰 	\n\
